,Gurgiser_avg_45,Climandes_avg_45,Garcia_avg_45,Bucket_avg_45,Liebmann_avg_45,Cook&Buckley_avg_45,Gurgiser_std_45,Climandes_std_45,Garcia_std_45,Bucket_std_45,Liebmann_std_45,Cook&Buckley_std_45,Gurgiser_avg_85,Climandes_avg_85,Garcia_avg_85,Bucket_avg_85,Liebmann_avg_85,Cook&Buckley_avg_85,Gurgiser_std_85,Climandes_std_85,Garcia_std_85,Bucket_std_85,Liebmann_std_85,Cook&Buckley_std_85
2019,260,260,260,294,226,239,18,18,16,9,11,15,268,269,261,299,223,247,21,21,31,13,13,16
2020,266,266,260,298,230,245,19,18,30,11,13,14,268,266,264,301,232,250,18,18,27,13,19,16
2021,266,263,266,295,226,241,23,25,21,14,16,16,260,260,263,294,229,243,15,14,13,8,16,13
2022,265,264,271,301,229,246,19,19,19,13,13,15,270,270,256,301,228,240,17,17,17,13,11,12
2023,270,270,262,299,226,244,18,18,29,9,14,19,266,265,268,300,234,247,17,16,16,9,13,11
2024,267,267,266,297,228,245,17,17,15,12,12,14,262,262,266,299,226,247,15,15,16,12,15,16
2025,264,264,267,301,235,250,21,22,31,12,17,16,265,265,268,296,225,238,19,20,15,10,12,15
2026,268,268,265,300,229,246,10,10,16,10,17,16,269,267,258,295,226,241,15,16,21,17,12,14
2027,276,274,272,301,230,246,16,19,34,15,14,18,265,264,267,296,231,241,19,18,14,12,14,15
2028,264,263,264,297,228,246,26,26,21,25,16,13,264,264,264,299,231,246,18,17,17,12,14,11
2029,269,268,273,299,230,242,18,19,16,13,14,10,265,267,268,299,230,247,15,18,22,15,13,19
2030,267,266,272,304,234,248,16,16,21,11,14,15,269,269,265,301,230,247,17,16,17,12,18,16
2031,273,272,269,301,227,241,18,19,15,14,14,14,274,274,277,302,232,248,18,18,18,14,18,14
2032,265,264,268,300,232,248,14,14,29,10,15,16,270,269,269,300,225,240,22,21,27,15,13,13
2033,273,271,260,304,228,249,18,19,28,14,14,14,270,269,266,300,230,247,15,15,14,12,15,15
2034,260,261,264,297,229,243,16,16,15,14,14,17,266,267,267,300,227,238,22,22,22,16,11,16
2035,263,264,270,299,227,246,15,16,16,12,21,16,269,269,273,301,234,245,22,21,22,13,15,14
2036,267,267,271,306,227,251,18,18,18,13,15,17,273,272,264,303,228,244,23,23,21,14,15,19
2037,263,263,268,299,230,247,21,21,16,14,17,18,266,265,267,297,230,240,18,17,13,11,12,13
2038,266,265,260,301,231,247,16,17,36,12,13,15,263,263,264,299,228,247,27,26,27,18,14,19
2039,256,255,263,295,228,240,14,14,16,11,12,11,266,266,267,300,232,242,16,15,16,11,14,13
2040,270,270,260,300,226,244,17,17,29,14,14,15,266,266,265,298,231,239,21,20,16,16,12,13
2041,266,265,267,302,233,250,16,16,18,13,15,16,270,270,265,301,229,242,20,20,33,13,16,17
2042,270,270,267,303,230,247,16,16,20,11,16,15,270,268,260,300,227,245,20,21,25,19,13,20
2043,267,267,269,302,229,240,20,18,17,13,11,13,262,261,262,298,228,241,22,22,28,15,16,16
2044,264,264,266,300,230,245,19,18,16,17,13,15,269,269,267,301,234,243,25,24,14,13,11,13
2045,269,271,260,298,234,246,25,25,32,17,13,16,274,273,267,304,229,247,22,21,14,15,15,15
2046,269,266,264,301,232,245,22,22,22,16,19,16,268,268,272,300,227,244,15,14,19,12,12,16
2047,267,267,265,300,227,246,23,22,13,12,19,13,262,261,267,298,228,244,23,23,18,17,12,14
2048,263,263,264,300,233,246,24,24,20,12,15,16,267,266,274,301,232,242,14,14,17,10,16,13
2049,269,269,264,299,229,246,20,21,18,14,14,17,268,267,268,298,227,243,20,20,24,16,15,19
2050,275,274,268,304,230,247,23,22,22,15,16,16,272,271,270,302,232,245,22,22,14,13,17,15
2051,266,265,264,301,231,246,18,19,22,14,18,15,271,270,268,301,223,248,21,21,36,16,13,20
2052,272,268,267,302,230,245,21,23,24,17,10,18,269,268,265,298,225,244,17,17,27,18,16,15
2053,265,264,266,297,227,242,21,21,16,12,12,12,271,268,263,299,228,248,16,16,29,13,15,18
2054,270,268,263,303,228,244,20,20,19,18,13,16,261,263,268,297,231,245,20,17,17,21,13,17
2055,270,270,270,305,227,249,20,19,17,15,15,17,269,269,271,303,236,247,15,15,12,12,14,13
2056,264,264,272,302,238,244,20,20,27,13,15,13,266,264,264,302,232,251,19,19,16,12,14,16
2057,264,263,260,297,231,245,13,14,28,14,17,16,266,266,262,300,231,241,20,20,21,15,14,17
2058,266,267,265,301,232,242,15,15,12,12,18,15,267,266,271,299,230,241,22,22,17,14,14,15
2059,262,260,265,297,231,245,15,16,14,14,14,12,270,270,261,299,231,244,17,17,28,9,12,13
2060,259,258,261,294,228,244,13,12,24,12,13,14,264,263,264,298,233,244,15,15,15,8,15,12
2061,265,266,265,302,234,243,14,15,12,10,11,11,263,263,266,299,229,245,20,20,17,12,13,19
2062,263,262,260,297,227,246,18,18,18,9,15,16,264,264,263,299,232,244,15,16,27,10,13,15
2063,266,266,266,297,228,242,18,18,17,11,11,14,264,264,261,298,226,239,16,17,39,12,11,12
2064,264,263,269,297,229,243,12,12,12,10,15,13,262,261,270,298,230,241,16,16,18,11,10,14
2065,265,265,254,297,230,248,16,17,22,12,17,15,261,261,264,296,233,242,19,19,17,12,14,14
2066,263,263,269,302,229,244,18,17,21,14,14,16,261,261,265,297,229,242,13,13,11,12,16,13
2067,262,263,263,301,235,245,15,15,22,10,11,10,269,270,269,298,232,246,21,21,28,18,19,21
2068,262,262,259,298,231,243,14,14,33,11,12,12,271,272,266,302,231,249,17,17,18,15,18,14
2069,268,268,265,300,225,244,16,16,18,13,15,18,262,261,271,298,230,249,16,16,12,21,15,17
2070,261,261,263,298,230,244,13,13,17,11,14,11,262,262,272,300,232,241,16,16,16,10,10,12
2071,264,264,262,302,233,244,15,15,35,15,15,15,266,266,256,298,229,242,19,18,33,11,18,12
2072,269,268,266,298,229,241,20,20,15,12,18,13,269,268,265,302,235,244,13,14,27,12,14,17
2073,268,268,266,301,233,247,20,20,26,15,17,16,267,266,255,300,231,244,23,22,33,15,14,15
2074,267,262,258,298,225,245,12,23,32,16,19,15,266,266,263,301,232,246,21,21,20,12,14,16
2075,272,272,268,300,234,239,25,25,26,13,14,14,268,268,273,301,229,244,16,16,13,16,15,17
2076,267,267,265,300,228,243,21,21,23,17,14,17,262,263,268,299,230,244,17,19,17,13,13,15
2077,268,267,267,299,229,242,24,24,17,14,14,11,261,261,269,300,227,243,11,11,15,11,10,14
2078,270,270,259,304,232,244,20,20,29,12,12,15,274,273,268,300,231,244,25,25,32,27,14,18
2079,272,272,264,303,229,247,19,19,21,18,17,14,273,273,259,299,232,242,24,24,38,15,14,15
2080,272,272,272,299,227,240,14,14,13,15,14,17,261,261,266,296,232,244,20,20,14,11,19,15
2081,271,271,272,301,230,250,23,23,21,26,19,19,268,268,267,301,229,246,19,19,16,14,12,17
2082,272,271,259,300,230,245,20,21,26,14,14,16,263,262,267,300,228,243,17,19,20,18,15,17
2083,268,267,269,301,230,240,21,22,17,13,13,15,270,270,267,304,233,244,18,18,19,13,14,14
2084,266,266,262,300,227,245,21,21,16,11,13,14,272,272,270,305,229,245,17,17,20,13,16,13
2085,274,272,253,302,229,245,20,18,35,11,11,15,268,267,262,299,227,243,19,19,29,15,17,13
2086,262,262,262,298,227,242,16,16,28,13,15,13,266,266,267,304,232,246,18,18,21,14,14,16
2087,269,269,266,301,231,247,26,26,27,17,16,20,266,265,264,302,233,246,15,16,30,13,13,14
2088,270,270,261,305,227,248,19,19,27,13,15,17,270,270,275,305,228,247,19,18,15,13,14,15
2089,274,274,265,307,233,248,16,15,37,14,15,16,269,269,272,300,225,238,20,20,15,11,15,12
2090,266,265,273,302,233,244,15,15,25,14,12,13,269,268,266,303,228,246,19,21,26,14,13,18
2091,266,266,267,303,230,247,23,23,18,16,14,15,267,267,261,300,231,240,18,18,29,14,12,10
2092,273,272,263,302,228,243,23,23,32,16,16,14,276,273,263,302,231,239,29,32,22,17,14,13
2093,264,264,265,300,231,246,20,20,31,18,19,17,268,267,272,305,234,248,18,18,18,15,14,15
2094,266,266,269,302,229,247,20,20,21,15,13,17,272,272,259,302,231,243,27,27,36,19,14,16
2095,266,266,267,302,231,241,22,22,23,17,13,16,275,275,263,304,225,247,26,26,22,21,20,17
2096,262,262,261,301,233,244,18,21,31,16,17,15,268,268,267,302,228,247,18,18,28,10,14,17
2097,271,270,271,306,237,249,21,20,27,18,16,16,268,268,265,305,233,251,16,16,29,18,18,21
2098,265,263,271,302,233,246,21,23,28,19,16,15,273,274,271,308,234,248,23,23,28,18,11,15
2099,266,266,261,301,232,243,21,21,34,13,16,15,268,268,272,302,231,248,22,21,26,16,12,19
